,fn,Ar_n,loc_n,E_HOMO,E_LUMO,m,h,s,w,QN,f1,f0,f_1,Df,local_S_f0,maxC-C,C-H,midC-C,aveB,BV_3A,BV_4A,BV_5A,NICS_0,NICS_1,NICS_0_ZZ,NICS_1_ZZ
0,X4t-1,X4t,1,-0.230064,-0.059693,-0.144878,0.085186,11.739087,0.1232,0.18925,0.23386,0.12862,0.02338,0.21048,1.50988,1.5153,0.9172,1.2715,1.2347,0.5124,0.3376,0.2498,-7.5688,-10.4705,-12.4745,-28.0593
1,X4t-3,X4t,3,-0.230064,-0.059693,-0.144878,0.085186,11.739087,0.1232,0.03898,0.06062,0.08766,0.11471,-0.05409,1.02911,1.5054,0.9207,1.3172,1.2478,0.5979,0.4314,0.3038,-7.5688,-10.4705,-12.4745,-28.0593
